ticker,percent_change
ADSK,2.101491577923298
FB,6.1906445771455765
CCI,1.7813855782151222
OMC,0.4928343463689089
WU,1.0822057723999023
ETFC,2.4373598396778107
HBAN,2.444550581276417
ROK,1.3454366475343704
NSC,2.403782494366169
HRL,-1.0892617516219616
AIV,2.5257309898734093
GOOGL,3.057132661342621
PLD,-0.251778494566679
EQIX,1.6902739182114601
CBRE,-0.3617631969973445
TXT,1.8138423562049866
NOV,10.559948533773422
IVZ,1.1761195957660675
ROL,1.1000985279679298
K,-0.40813605301082134
MLM,-1.3621477410197258
DISH,3.5971682518720627
GPC,2.5078000500798225
RMD,1.524418406188488
WYNN,1.5081802383065224
CMG,10.675007104873657
CCL,5.969555675983429
RSG,1.4522598125040531
CMA,19.402362406253815
FANG,6.910794228315353
HFC,0.8816169574856758
IBM,3.7937790155410767
EL,2.328846976161003
KSS,-11.485852301120758
FTV,2.5655483826994896
RTX,0.8247476071119308
EA,0.2348230453208089
TAP,1.0242144577205181
LKQ,2.2510210052132607
HAS,1.8649540841579437
WMT,1.0685723274946213
IEX,1.7635857686400414
COF,2.081378735601902
TROW,1.679992862045765
TXN,3.49731408059597
OKE,1.839006133377552
SNA,2.8616614639759064
TTWO,0.6086895242333412
LUV,-2.6765573769807816
BMY,0.7779343519359827
TFC,0.820351205766201
msft,2.238687686622143
QCOM,2.764597535133362
TGT,-0.08449008455500007
IPG,1.9940810278058052
HRB,1.4723347499966621
EOG,10.86542159318924
MMC,0.749842869117856
CAG,1.0479757562279701
BAC,0.9650389663875103
PKI,3.005162812769413
SPGI,2.632351778447628
DHI,2.1642331033945084
PEP,0.8370237424969673
SRE,2.885644882917404
AIZ,1.6151947900652885
PSA,1.4017123728990555
LNC,14.564916491508484
MAA,0.9584766812622547
IRM,0.3637203713878989
ICE,1.484376098960638
NLOK,1.8952688202261925
HON,0.9139860980212688
UNP,1.952233724296093
SIVB,1.9485445693135262
APTV,3.525761514902115
ADM,0.7381385657936335
EQR,1.9822554662823677
MHK,3.8613229990005493
UA,0.7343360688537359
VMC,-0.06671201554127038
DHR,3.245018422603607
AJG,-0.035677533014677465
COST,1.457974687218666
TMO,3.6905352026224136
FTI,7.256574183702469
XRX,3.490297496318817
ES,0.7169509772211313
BKR,-0.24861230049282312
XYL,1.8653692677617073
YUM,5.986059084534645
MKTX,1.8789790570735931
ODFL,nan
CMCSA,-0.10128016583621502
ZION,2.3218924179673195
FLIR,-0.09415655513294041
MSI,2.963869273662567
PEAK,2.892410568892956
VRSK,3.3964086323976517
TFX,0.8200113661587238
VZ,1.321164146065712
MKC,0.6710156332701445
BIIB,-9.118982404470444
FLS,6.320050358772278
ALXN,0.24994087871164083
DD,1.297904085367918
LW,1.0334225371479988
CDNS,5.642809718847275
CPB,0.17457195790484548
EXC,3.1825143843889236
ALK,-1.0775919072329998
DFS,1.3890616595745087
IPGP,3.570535033941269
MOS,nan
AVGO,4.063893109560013
MET,1.6249783337116241
AMP,2.196177840232849
MSCI,2.4313274770975113
NTRS,3.3009521663188934
CNP,4.038380458950996
IFF,2.112496830523014
RF,4.210006073117256
WFC,6.597549468278885
NWSA,1.7076976597309113
EVRG,2.174176834523678
VRSN,3.5530012100934982
EXPD,0.7716093678027391
MA,4.317530989646912
F,1.9930703565478325
GLW,1.9611585885286331
NVR,1.6162542626261711
ADP,3.029456175863743
AON,1.16081852465868
J,1.7683696001768112
CI,1.7491940408945084
ABC,1.0499306954443455
KLAC,4.926193505525589
DG,0.3583463141694665
ORCL,0.8836253546178341
PFE,1.933988370001316
KMB,1.248363684862852
QRVO,4.942774027585983
ANSS,2.635538950562477
SWK,1.6327405348420143
KO,0.932338647544384
ROP,1.0903315618634224
JCI,0.4816741682589054
MXIM,3.262147307395935
RCL,17.111989855766296
FIS,3.642989695072174
ALL,1.5126634389162064
HP,3.393123671412468
TPR,0.7837370969355106
NRG,2.234373986721039
IQV,2.160637266933918
HOLX,1.0714457370340824
ABMD,1.255862321704626
CFG,2.1297432482242584
SHW,2.8682811185717583
ED,0.3762640990316868
ZBRA,2.5149447843432426
STX,1.8932409584522247
USB,4.194282367825508
AEP,2.665175125002861
PEG,1.636209711432457
GS,1.2350501492619514
MTB,1.340037491172552
GM,0.7232699543237686
JNJ,1.7311962321400642
DRI,7.590966671705246
DGX,5.319257453083992
LOW,2.36882995814085
MU,5.085277929902077
JKHY,0.9022777900099754
HOG,5.010154098272324
CMI,1.7730187624692917
CHTR,0.731582148000598
IR,-1.4942798763513565
D,1.9615931436419487
LVS,-0.54049426689744
HSY,0.6795303430408239
DISCK,-0.9274129755795002
L,1.6138844192028046
DXC,3.077843226492405
UHS,0.16545206308364868
PXD,7.183064520359039
HPQ,1.4845912344753742
SNPS,2.8023051097989082
WEC,1.089445035904646
NWL,-2.944994904100895
ACN,2.644015848636627
CAT,nan
PBCT,0.708330562338233
FISV,3.116654045879841
NOW,2.5065021589398384
SWKS,4.0548525750637054
WELL,2.7133630588650703
LYV,0.3849892411381006
EIX,0.8890246041119099
NDAQ,-0.6665925029665232
HCA,-1.393554825335741
ANTM,4.059899598360062
KHC,0.5312072113156319
ECL,2.1747298538684845
PNW,2.055131085216999
MDT,-1.7196133732795715
FDX,-0.45031956396996975
MO,0.10621655965223908
ZBH,-1.8285224214196205
JNPR,2.5597821921110153
AMGN,-0.6208529695868492
HPE,1.4576821587979794
ALLE,1.7418872565031052
GPS,nan
CHRW,0.9477450512349606
UNH,0.8022968657314777
PAYX,4.404023662209511
CRM,0.8010554127395153
VIAC,0.8537879213690758
